iter	Logloss
0	0.5832784328
1	0.5565723192
2	0.5444923238
3	0.5373769213
4	0.534366001
5	0.5316390945
6	0.5303994216
7	0.5286145432
8	0.5270505101
9	0.526885903
10	0.5263706339
11	0.5259739516
12	0.5256842151
13	0.52507486
14	0.5236050374
15	0.523125705
16	0.5225651517
17	0.5212637704
18	0.5201269652
19	0.5201239236
20	0.5200938247
21	0.519717337
22	0.5176175347
23	0.5162744652
24	0.5156628145
25	0.515124097
26	0.5141501042
27	0.5133766143
28	0.5120507583
29	0.5106017203
30	0.509177242
31	0.5081603854
32	0.5076745458
33	0.5065422661
34	0.5062974954
35	0.505991144
36	0.5048686073
37	0.5047162196
38	0.5041698965
39	0.5041501991
40	0.5041442832
41	0.5041379059
42	0.5034610694
43	0.5019978503
44	0.5019842108
45	0.5017411258
46	0.5011736312
47	0.5011452162
48	0.5002859845
49	0.4991868076
50	0.4989063007
51	0.4984534078
52	0.4973435262
53	0.4954923598
54	0.494647751
55	0.4943667891
56	0.4942448159
57	0.493884092
58	0.4937392635
59	0.4937218349
60	0.4936677407
61	0.4931142412
62	0.4928174095
63	0.4924031732
64	0.4924008157
65	0.4920239571
66	0.4911409332
67	0.4907828622
68	0.4900730978
69	0.4891766147
70	0.4886002091
71	0.4882339163
72	0.4878981729
73	0.4878892932
74	0.4878846405
75	0.4871544018
76	0.4861060723
77	0.4860851377
78	0.4849186036
79	0.4847316172
80	0.4835781963
81	0.4833514605
82	0.4828354507
83	0.4826432119
84	0.4825064807
85	0.4821490404
86	0.4821487425
87	0.481940764
88	0.4809873553
89	0.4806054715
90	0.4804114128
91	0.4801313688
92	0.4792136544
93	0.4789676565
94	0.4783036226
95	0.4779593849
96	0.4774613969
97	0.4771856863
98	0.4766429074
99	0.4760818857
