iter	Passed	Remaining
0	15	1536
1	29	1450
2	47	1547
3	64	1559
4	82	1563
5	99	1551
6	116	1544
7	132	1521
8	148	1506
9	166	1496
10	176	1429
11	195	1432
12	212	1422
13	228	1405
14	240	1365
15	258	1355
16	271	1323
17	284	1295
18	303	1294
19	314	1257
20	328	1237
21	346	1227
22	363	1218
23	380	1204
24	396	1188
25	411	1171
26	427	1155
27	447	1151
28	466	1142
29	483	1128
30	499	1112
31	515	1094
32	531	1079
33	548	1064
34	564	1047
35	581	1033
36	596	1016
37	613	1000
38	629	983
39	644	967
40	667	960
41	684	945
42	700	928
43	716	912
44	732	895
45	747	877
46	764	862
47	782	847
48	799	832
49	820	820
50	841	808
51	862	796
52	885	784
53	903	769
54	921	754
55	946	744
56	970	731
57	991	717
58	1009	701
59	1026	684
60	1043	667
61	1059	649
62	1076	632
63	1097	617
64	1114	600
65	1132	583
66	1149	566
67	1165	548
68	1182	531
69	1195	512
70	1211	494
71	1227	477
72	1244	460
73	1262	443
74	1278	426
75	1295	409
76	1323	395
77	1349	380
78	1373	365
79	1390	347
80	1410	330
81	1426	313
82	1445	295
83	1461	278
84	1480	261
85	1498	244
86	1513	226
87	1527	208
88	1547	191
89	1566	174
90	1578	156
91	1590	138
92	1604	120
93	1618	103
94	1635	86
95	1651	68
96	1667	51
97	1684	34
98	1700	17
99	1719	0
